日期,節氣,年柱,年屬性,月柱,月屬性,日柱,日屬性,年星,年星五行,月星,月星五行,日星,日星五行
2025-03-22,,甲辰,陽木陽土,乙卯,陰木陰木,庚寅,陽金陽木,三碧,木,四綠,木,六白,金
2025-03-23,,甲辰,陽木陽土,乙卯,陰木陰木,辛卯,陰金陰木,三碧,木,四綠,木,七赤,金
2025-03-24,,甲辰,陽木陽土,乙卯,陰木陰木,壬辰,陽水陽土,三碧,木,四綠,木,八白,土
2025-03-25,,甲辰,陽木陽土,乙卯,陰木陰木,癸巳,陰水陰火,三碧,木,四綠,木,九紫,火
2025-03-26,,甲辰,陽木陽土,乙卯,陰木陰木,甲午,陽木陽火,三碧,木,四綠,木,一白,水
2025-03-27,,甲辰,陽木陽土,乙卯,陰木陰木,乙未,陰木陰土,三碧,木,四綠,木,二黑,土
2025-03-28,,甲辰,陽木陽土,乙卯,陰木陰木,丙申,陽火陽金,三碧,木,四綠,木,三碧,木
2025-03-29,,甲辰,陽木陽土,乙卯,陰木陰木,丁酉,陰火陰金,三碧,木,四綠,木,四綠,木
2025-03-30,,甲辰,陽木陽土,乙卯,陰木陰木,戊戌,陽土陽土,三碧,木,四綠,木,五黃,土
2025-03-31,,甲辰,陽木陽土,乙卯,陰木陰木,己亥,陰土陰水,三碧,木,四綠,木,六白,金
2025-04-01,,乙巳,陰木陰火,丁卯,陰火陰木,庚子,陽金陽水,二黑,土,一白,水,七赤,金
2025-04-02,,乙巳,陰木陰火,丁卯,陰火陰木,辛丑,陰金陰土,二黑,土,一白,水,八白,土
2025-04-03,,乙巳,陰木陰火,丁卯,陰火陰木,壬寅,陽水陽木,二黑,土,一白,水,九紫,火
2025-04-04,,乙巳,陰木陰火,丁卯,陰火陰木,癸卯,陰水陰木,二黑,土,一白,水,一白,水
2025-04-05,清明,乙巳,陰木陰火,戊辰,陽土陽土,甲辰,陽木陽土,二黑,土,九紫,火,二黑,土
2025-04-06,,乙巳,陰木陰火,戊辰,陽土陽土,乙巳,陰木陰火,二黑,土,九紫,火,三碧,木
2025-04-07,,乙巳,陰木陰火,戊辰,陽土陽土,丙午,陽火陽火,二黑,土,九紫,火,四綠,木
2025-04-08,,乙巳,陰木陰火,戊辰,陽土陽土,丁未,陰火陰土,二黑,土,九紫,火,五黃,土
2025-04-09,,乙巳,陰木陰火,戊辰,陽土陽土,戊申,陽土陽金,二黑,土,九紫,火,六白,金
2025-04-10,,乙巳,陰木陰火,戊辰,陽土陽土,己酉,陰土陰金,二黑,土,九紫,火,七赤,金
2025-04-11,,乙巳,陰木陰火,戊辰,陽土陽土,庚戌,陽金陽土,二黑,土,九紫,火,八白,土
2025-04-12,,乙巳,陰木陰火,戊辰,陽土陽土,辛亥,陰金陰水,二黑,土,九紫,火,九紫,火
2025-04-13,,乙巳,陰木陰火,戊辰,陽土陽土,壬子,陽水陽水,二黑,土,九紫,火,一白,水
2025-04-14,,乙巳,陰木陰火,戊辰,陽土陽土,癸丑,陰水陰土,二黑,土,九紫,火,二黑,土
2025-04-15,,乙巳,陰木陰火,戊辰,陽土陽土,甲寅,陽木陽木,二黑,土,九紫,火,三碧,木
2025-04-16,,乙巳,陰木陰火,戊辰,陽土陽土,乙卯,陰木陰木,二黑,土,九紫,火,四綠,木
2025-04-17,,乙巳,陰木陰火,戊辰,陽土陽土,丙辰,陽火陽土,二黑,土,九紫,火,五黃,土
2025-04-18,,乙巳,陰木陰火,戊辰,陽土陽土,丁巳,陰火陰火,二黑,土,九紫,火,六白,金
2025-04-19,,乙巳,陰木陰火,戊辰,陽土陽土,戊午,陽土陽火,二黑,土,九紫,火,七赤,金
2025-04-20,,乙巳,陰木陰火,戊辰,陽土陽土,己未,陰土陰土,二黑,土,九紫,火,八白,土
2025-04-21,穀雨,乙巳,陰木陰火,戊辰,陽土陽土,庚申,陽金陽金,二黑,土,九紫,火,九紫,火
2025-04-22,,乙巳,陰木陰火,戊辰,陽土陽土,辛酉,陰金陰金,二黑,土,九紫,火,一白,水
2025-04-23,,乙巳,陰木陰火,戊辰,陽土陽土,壬戌,陽水陽土,二黑,土,九紫,火,二黑,土
2025-04-24,,乙巳,陰木陰火,戊辰,陽土陽土,癸亥,陰水陰水,二黑,土,九紫,火,三碧,木
2025-04-25,,乙巳,陰木陰火,戊辰,陽土陽土,甲子,陽木陽水,二黑,土,九紫,火,四綠,木
2025-04-26,,乙巳,陰木陰火,戊辰,陽土陽土,乙丑,陰木陰土,二黑,土,九紫,火,五黃,土
2025-04-27,,乙巳,陰木陰火,戊辰,陽土陽土,丙寅,陽火陽木,二黑,土,九紫,火,六白,金
2025-04-28,,乙巳,陰木陰火,戊辰,陽土陽土,丁卯,陰火陰木,二黑,土,九紫,火,七赤,金
2025-04-29,,乙巳,陰木陰火,戊辰,陽土陽土,戊辰,陽土陽土,二黑,土,九紫,火,八白,土
2025-04-30,,乙巳,陰木陰火,戊辰,陽土陽土,己巳,陰土陰火,二黑,土,九紫,火,九紫,火
2025-05-01,,乙巳,陰木陰火,戊辰,陽土陽土,庚午,陽金陽火,二黑,土,九紫,火,一白,水
2025-05-02,,乙巳,陰木陰火,戊辰,陽土陽土,辛未,陰金陰土,二黑,土,九紫,火,二黑,土
2025-05-03,,乙巳,陰木陰火,戊辰,陽土陽土,壬申,陽水陽金,二黑,土,九紫,火,三碧,木
2025-05-04,,乙巳,陰木陰火,戊辰,陽土陽土,癸酉,陰水陰金,二黑,土,九紫,火,四綠,木
2025-05-05,,乙巳,陰木陰火,戊辰,陽土陽土,甲戌,陽木陽土,二黑,土,九紫,火,五黃,土
2025-05-06,立夏,乙巳,陰木陰火,己巳,陰土陰火,乙亥,陰木陰水,二黑,土,八白,土,六白,金
2025-05-07,,乙巳,陰木陰火,己巳,陰土陰火,丙子,陽火陽水,二黑,土,八白,土,七赤,金
2025-05-08,,乙巳,陰木陰火,己巳,陰土陰火,丁丑,陰火陰土,二黑,土,八白,土,八白,土
2025-05-09,,乙巳,陰木陰火,己巳,陰土陰火,戊寅,陽土陽木,二黑,土,八白,土,九紫,火
2025-05-10,,乙巳,陰木陰火,己巳,陰土陰火,己卯,陰土陰木,二黑,土,八白,土,一白,水
2025-05-11,,乙巳,陰木陰火,己巳,陰土陰火,庚辰,陽金陽土,二黑,土,八白,土,二黑,土
2025-05-12,,乙巳,陰木陰火,己巳,陰土陰火,辛巳,陰金陰火,二黑,土,八白,土,三碧,木
2025-05-13,,乙巳,陰木陰火,己巳,陰土陰火,壬午,陽水陽火,二黑,土,八白,土,四綠,木
2025-05-14,,乙巳,陰木陰火,己巳,陰土陰火,癸未,陰水陰土,二黑,土,八白,土,五黃,土
2025-05-15,,乙巳,陰木陰火,己巳,陰土陰火,甲申,陽木陽金,二黑,土,八白,土,六白,金
2025-05-16,,乙巳,陰木陰火,己巳,陰土陰火,乙酉,陰木陰金,二黑,土,八白,土,七赤,金
2025-05-17,,乙巳,陰木陰火,己巳,陰土陰火,丙戌,陽火陽土,二黑,土,八白,土,八白,土
2025-05-18,,乙巳,陰木陰火,己巳,陰土陰火,丁亥,陰火陰水,二黑,土,八白,土,九紫,火
2025-05-19,,乙巳,陰木陰火,己巳,陰土陰火,戊子,陽土陽水,二黑,土,八白,土,一白,水
2025-05-20,,乙巳,陰木陰火,己巳,陰土陰火,己丑,陰土陰土,二黑,土,八白,土,二黑,土
2025-05-21,小滿,乙巳,陰木陰火,己巳,陰土陰火,庚寅,陽金陽木,二黑,土,八白,土,三碧,木
2025-05-22,,乙巳,陰木陰火,己巳,陰土陰火,辛卯,陰金陰木,二黑,土,八白,土,四綠,木
2025-05-23,,乙巳,陰木陰火,己巳,陰土陰火,壬辰,陽水陽土,二黑,土,八白,土,五黃,土
2025-05-24,,乙巳,陰木陰火,己巳,陰土陰火,癸巳,陰水陰火,二黑,土,八白,土,六白,金
2025-05-25,,乙巳,陰木陰火,己巳,陰土陰火,甲午,陽木陽火,二黑,土,八白,土,七赤,金
2025-05-26,,乙巳,陰木陰火,己巳,陰土陰火,乙未,陰木陰土,二黑,土,八白,土,八白,土
2025-05-27,,乙巳,陰木陰火,己巳,陰土陰火,丙申,陽火陽金,二黑,土,八白,土,九紫,火
2025-05-28,,乙巳,陰木陰火,己巳,陰土陰火,丁酉,陰火陰金,二黑,土,八白,土,一白,水
2025-05-29,,乙巳,陰木陰火,己巳,陰土陰火,戊戌,陽土陽土,二黑,土,八白,土,二黑,土
2025-05-30,,乙巳,陰木陰火,己巳,陰土陰火,己亥,陰土陰水,二黑,土,八白,土,三碧,木
2025-05-31,,乙巳,陰木陰火,己巳,陰土陰火,庚子,陽金陽水,二黑,土,八白,土,四綠,木
2025-06-01,,乙巳,陰木陰火,己巳,陰土陰火,辛丑,陰金陰土,二黑,土,八白,土,五黃,土
2025-06-02,,乙巳,陰木陰火,己巳,陰土陰火,壬寅,陽水陽木,二黑,土,八白,土,六白,金
2025-06-03,,乙巳,陰木陰火,己巳,陰土陰火,癸卯,陰水陰木,二黑,土,八白,土,七赤,金
2025-06-04,,乙巳,陰木陰火,己巳,陰土陰火,甲辰,陽木陽土,二黑,土,八白,土,八白,土
2025-06-05,,乙巳,陰木陰火,己巳,陰土陰火,乙巳,陰木陰火,二黑,土,八白,土,九紫,火
2025-06-06,芒種,乙巳,陰木陰火,庚午,陽金陽火,丙午,陽火陽火,二黑,土,七赤,金,一白,水
2025-06-07,,乙巳,陰木陰火,庚午,陽金陽火,丁未,陰火陰土,二黑,土,七赤,金,二黑,土
2025-06-08,,乙巳,陰木陰火,庚午,陽金陽火,戊申,陽土陽金,二黑,土,七赤,金,三碧,木
2025-06-09,,乙巳,陰木陰火,庚午,陽金陽火,己酉,陰土陰金,二黑,土,七赤,金,四綠,木
2025-06-10,,乙巳,陰木陰火,庚午,陽金陽火,庚戌,陽金陽土,二黑,土,七赤,金,五黃,土
2025-06-11,,乙巳,陰木陰火,庚午,陽金陽火,辛亥,陰金陰水,二黑,土,七赤,金,六白,金
2025-06-12,,乙巳,陰木陰火,庚午,陽金陽火,壬子,陽水陽水,二黑,土,七赤,金,七赤,金
2025-06-13,,乙巳,陰木陰火,庚午,陽金陽火,癸丑,陰水陰土,二黑,土,七赤,金,八白,土
2025-06-14,,乙巳,陰木陰火,庚午,陽金陽火,甲寅,陽木陽木,二黑,土,七赤,金,九紫,火
2025-06-15,,乙巳,陰木陰火,庚午,陽金陽火,乙卯,陰木陰木,二黑,土,七赤,金,一白,水
2025-06-16,,乙巳,陰木陰火,庚午,陽金陽火,丙辰,陽火陽土,二黑,土,七赤,金,二黑,土
2025-06-17,,乙巳,陰木陰火,庚午,陽金陽火,丁巳,陰火陰火,二黑,土,七赤,金,三碧,木
2025-06-18,,乙巳,陰木陰火,庚午,陽金陽火,戊午,陽土陽火,二黑,土,七赤,金,四綠,木
2025-06-19,,乙巳,陰木陰火,庚午,陽金陽火,己未,陰土陰土,二黑,土,七赤,金,五黃,土
2025-06-20,,乙巳,陰木陰火,庚午,陽金陽火,庚申,陽金陽金,二黑,土,七赤,金,六白,金
2025-06-21,,乙巳,陰木陰火,庚午,陽金陽火,辛酉,陰金陰金,二黑,土,七赤,金,七赤,金
2025-06-22,夏至,乙巳,陰木陰火,庚午,陽金陽火,壬戌,陽水陽土,二黑,土,七赤,金,二黑,土
2025-06-23,,乙巳,陰木陰火,庚午,陽金陽火,癸亥,陰水陰水,二黑,土,七赤,金,一白,水
2025-06-24,,乙巳,陰木陰火,庚午,陽金陽火,甲子,陽木陽水,二黑,土,七赤,金,九紫,火
2025-06-25,,乙巳,陰木陰火,庚午,陽金陽火,乙丑,陰木陰土,二黑,土,七赤,金,八白,土
2025-06-26,,乙巳,陰木陰火,庚午,陽金陽火,丙寅,陽火陽木,二黑,土,七赤,金,七赤,金
2025-06-27,,乙巳,陰木陰火,庚午,陽金陽火,丁卯,陰火陰木,二黑,土,七赤,金,六白,金
2025-06-28,,乙巳,陰木陰火,庚午,陽金陽火,戊辰,陽土陽土,二黑,土,七赤,金,五黃,土
2025-06-29,,乙巳,陰木陰火,庚午,陽金陽火,己巳,陰土陰火,二黑,土,七赤,金,四綠,木
2025-06-30,,乙巳,陰木陰火,庚午,陽金陽火,庚午,陽金陽火,二黑,土,七赤,金,三碧,木
2025-07-01,,乙巳,陰木陰火,庚午,陽金陽火,辛未,陰金陰土,二黑,土,七赤,金,二黑,土
2025-07-02,,乙巳,陰木陰火,庚午,陽金陽火,壬申,陽水陽金,二黑,土,七赤,金,一白,水
2025-07-03,,乙巳,陰木陰火,庚午,陽金陽火,癸酉,陰水陰金,二黑,土,七赤,金,九紫,火
2025-07-04,,乙巳,陰木陰火,庚午,陽金陽火,甲戌,陽木陽土,二黑,土,七赤,金,八白,土
2025-07-05,,乙巳,陰木陰火,庚午,陽金陽火,乙亥,陰木陰水,二黑,土,七赤,金,七赤,金
2025-07-06,,乙巳,陰木陰火,庚午,陽金陽火,丙子,陽火陽水,二黑,土,七赤,金,六白,金
2025-07-07,,乙巳,陰木陰火,庚午,陽金陽火,丁丑,陰火陰土,二黑,土,七赤,金,五黃,土
2025-07-08,小暑,乙巳,陰木陰火,辛未,陰金陰土,戊寅,陽土陽木,二黑,土,六白,金,四綠,木
2025-07-09,,乙巳,陰木陰火,辛未,陰金陰土,己卯,陰土陰木,二黑,土,六白,金,三碧,木
2025-07-10,,乙巳,陰木陰火,辛未,陰金陰土,庚辰,陽金陽土,二黑,土,六白,金,二黑,土
2025-07-11,,乙巳,陰木陰火,辛未,陰金陰土,辛巳,陰金陰火,二黑,土,六白,金,一白,水
2025-07-12,,乙巳,陰木陰火,辛未,陰金陰土,壬午,陽水陽火,二黑,土,六白,金,九紫,火
2025-07-13,,乙巳,陰木陰火,辛未,陰金陰土,癸未,陰水陰土,二黑,土,六白,金,八白,土
2025-07-14,,乙巳,陰木陰火,辛未,陰金陰土,甲申,陽木陽金,二黑,土,六白,金,七赤,金
2025-07-15,,乙巳,陰木陰火,辛未,陰金陰土,乙酉,陰木陰金,二黑,土,六白,金,六白,金
2025-07-16,,乙巳,陰木陰火,辛未,陰金陰土,丙戌,陽火陽土,二黑,土,六白,金,五黃,土
2025-07-17,,乙巳,陰木陰火,辛未,陰金陰土,丁亥,陰火陰水,二黑,土,六白,金,四綠,木
2025-07-18,,乙巳,陰木陰火,辛未,陰金陰土,戊子,陽土陽水,二黑,土,六白,金,三碧,木
2025-07-19,,乙巳,陰木陰火,辛未,陰金陰土,己丑,陰土陰土,二黑,土,六白,金,二黑,土
2025-07-20,,乙巳,陰木陰火,辛未,陰金陰土,庚寅,陽金陽木,二黑,土,六白,金,一白,水
2025-07-21,,乙巳,陰木陰火,辛未,陰金陰土,辛卯,陰金陰木,二黑,土,六白,金,九紫,火
2025-07-22,,乙巳,陰木陰火,辛未,陰金陰土,壬辰,陽水陽土,二黑,土,六白,金,八白,土
2025-07-23,大暑,乙巳,陰木陰火,辛未,陰金陰土,癸巳,陰水陰火,二黑,土,六白,金,七赤,金
2025-07-24,,乙巳,陰木陰火,辛未,陰金陰土,甲午,陽木陽火,二黑,土,六白,金,六白,金
2025-07-25,,乙巳,陰木陰火,辛未,陰金陰土,乙未,陰木陰土,二黑,土,六白,金,五黃,土
2025-07-26,,乙巳,陰木陰火,辛未,陰金陰土,丙申,陽火陽金,二黑,土,六白,金,四綠,木
2025-07-27,,乙巳,陰木陰火,辛未,陰金陰土,丁酉,陰火陰金,二黑,土,六白,金,三碧,木
2025-07-28,,乙巳,陰木陰火,辛未,陰金陰土,戊戌,陽土陽土,二黑,土,六白,金,二黑,土
2025-07-29,,乙巳,陰木陰火,辛未,陰金陰土,己亥,陰土陰水,二黑,土,六白,金,一白,水
2025-07-30,,乙巳,陰木陰火,辛未,陰金陰土,庚子,陽金陽水,二黑,土,六白,金,九紫,火
2025-07-31,,乙巳,陰木陰火,辛未,陰金陰土,辛丑,陰金陰土,二黑,土,六白,金,八白,土
2025-08-01,,乙巳,陰木陰火,辛未,陰金陰土,壬寅,陽水陽木,二黑,土,六白,金,七赤,金
2025-08-02,,乙巳,陰木陰火,辛未,陰金陰土,癸卯,陰水陰木,二黑,土,六白,金,六白,金
2025-08-03,,乙巳,陰木陰火,辛未,陰金陰土,甲辰,陽木陽土,二黑,土,六白,金,五黃,土
2025-08-04,,乙巳,陰木陰火,辛未,陰金陰土,乙巳,陰木陰火,二黑,土,六白,金,四綠,木
2025-08-05,,乙巳,陰木陰火,辛未,陰金陰土,丙午,陽火陽火,二黑,土,六白,金,三碧,木
2025-08-06,,乙巳,陰木陰火,辛未,陰金陰土,丁未,陰火陰土,二黑,土,六白,金,二黑,土
2025-08-07,,乙巳,陰木陰火,辛未,陰金陰土,戊申,陽土陽金,二黑,土,六白,金,一白,水
2025-08-08,立秋,乙巳,陰木陰火,壬申,陽水陽金,己酉,陰土陰金,二黑,土,五黃,土,九紫,火
2025-08-09,,乙巳,陰木陰火,壬申,陽水陽金,庚戌,陽金陽土,二黑,土,五黃,土,八白,土
2025-08-10,,乙巳,陰木陰火,壬申,陽水陽金,辛亥,陰金陰水,二黑,土,五黃,土,七赤,金
2025-08-11,,乙巳,陰木陰火,壬申,陽水陽金,壬子,陽水陽水,二黑,土,五黃,土,六白,金
2025-08-12,,乙巳,陰木陰火,壬申,陽水陽金,癸丑,陰水陰土,二黑,土,五黃,土,五黃,土
2025-08-13,,乙巳,陰木陰火,壬申,陽水陽金,甲寅,陽木陽木,二黑,土,五黃,土,四綠,木
2025-08-14,,乙巳,陰木陰火,壬申,陽水陽金,乙卯,陰木陰木,二黑,土,五黃,土,三碧,木
2025-08-15,,乙巳,陰木陰火,壬申,陽水陽金,丙辰,陽火陽土,二黑,土,五黃,土,二黑,土
2025-08-16,,乙巳,陰木陰火,壬申,陽水陽金,丁巳,陰火陰火,二黑,土,五黃,土,一白,水
2025-08-17,,乙巳,陰木陰火,壬申,陽水陽金,戊午,陽土陽火,二黑,土,五黃,土,九紫,火
